index,name,primaryMuscles,instructions
67,Palms-Down Wrist Curl Over A Bench,forearms,"['Start out by placing a barbell on one side of a flat bench.', 'Kneel down on both of your knees so that your body is facing the flat bench.', 'Use your arms to grab the barbell with a pronated grip (palms down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.', 'Start out by curling your wrist upwards and exhaling.', 'Slowly lower your wrists back down to the starting position while inhaling.', 'Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.', 'Repeat for the recommended amount of repetitions.']"
68,Palms-Up Barbell Wrist Curl Over A Bench,forearms,"['Start out by placing a barbell on one side of a flat bench.', 'Kneel down on both of your knees so that your body is facing the flat bench.', 'Use your arms to grab the barbell with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.', 'Start out by curling your wrist upwards and exhaling.', 'Slowly lower your wrists back down to the starting position while inhaling.', 'Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.', 'Repeat for the recommended amount of repetitions.']"
69,Ankle On The Knee,glutes,"['From a lying position, bend your knees and keep your feet on the floor.', 'Place your ankle of one foot on your opposite knee.', 'Grasp the thigh or knee of the bottom leg and pull both of your legs into the chest. Relax your neck and shoulders. Hold for 10-20 seconds and then switch sides.']"
70,Barbell Glute Bridge,glutes,"['Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor.', 'Begin the movement by driving through with your heels, extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet.', 'Extend as far as possible, then reverse the motion to return to the starting position.']"
71,Barbell Hip Thrust,glutes,"['Begin seated on the ground with a bench directly behind you. Have a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise.', 'Roll the bar so that it is directly above your hips, and lean back against the bench so that your shoulder blades are near the top of it.', 'Begin the movement by driving through your feet, extending your hips vertically through the bar. Your weight should be supported by your shoulder blades and your feet. Extend as far as possible, then reverse the motion to return to the starting position.']"
72,Butt Lift (Bridge),glutes,"['Lie flat on the floor on your back with the hands by your side and your knees bent. Your feet should be placed around shoulder width. This will be your starting position.', 'Pushing mainly with your heels, lift your hips off the floor while keeping your back straight. Breathe out as you perform this part of the motion and hold at the top for a second.', 'Slowly go back to the starting position as you breathe in.']"
73,Downward Facing Balance,glutes,"['Lie facedown on top of an exercise ball.', 'While resting on your stomach on the ball, walk your hands forward along the floor and lift your legs, extending your elbows and knees.']"
74,Flutter Kicks,glutes,"['On a flat bench lie facedown with the hips on the edge of the bench, the legs straight with toes high off the floor and with the arms on top of the bench holding on to the front edge.', 'Squeeze your glutes and hamstrings and straighten the legs until they are level with the hips. This will be your starting position.', 'Start the movement by lifting the left leg higher than the right leg.', 'Then lower the left leg as you lift the right leg.', 'Continue alternating in this manner (as though you are doing a flutter kick in water) until you have done the recommended amount of repetitions for each leg. Make sure that you keep a controlled movement at all times. Tip: You will breathe normally as you perform this movement.']"
75,Glute Kickback,glutes,"['Kneel on the floor or an exercise mat and bend at the waist with your arms extended in front of you (perpendicular to the torso) in order to get into a kneeling push-up position but with the arms spaced at shoulder width. Your head should be looking forward and the bend of the knees should create a 90-degree angle between the hamstrings and the calves. This will be your starting position.', 'As you exhale, lift up your right leg until the hamstrings are in line with the back while maintaining the 90-degree angle bend. Contract the glutes throughout this movement and hold the contraction at the top for a second. Tip: At the end of the movement the upper leg should be parallel to the floor while the calf should be perpendicular to it.', 'Go back to the initial position as you inhale and now repeat with the left leg.', 'Continue to alternate legs until all of the recommended repetitions have been performed.']"
76,Hip Extension with Bands,glutes,"['Secure one end of the band to the lower portion of a post and attach the other to one ankle.', 'Facing the attachment point of the band, hold on to the column to stabilize yourself.', 'Keeping your head and your chest up, move the resisted leg back as far as you can while keeping the knee straight.', 'Return the leg to the starting position.']"
77,Hip Lift with Band,glutes,"[""After choosing a suitable band, lay down in the middle of the rack, after securing the band on either side of you. If your rack doesn't have pegs, the band can be secured using heavy dumbbells or similar objects, just ensure they won't move."", 'Adjust your position so that the band is directly over your hips. Bend your knees and place your feet flat on the floor. Your hands can be on the floor or holding the band in position.', 'Keeping your shoulders on the ground, drive through your heels to raise your hips, pushing into the band as high as you can.', 'Pause at the top of the motion, and return to the starting position.']"
78,Knee Across The Body,glutes,"[""Lie down on the floor with your right leg straight. Bend your left leg and lower it across your body, holding the knee down toward the floor with your right hand. (The knee doesn't need to touch the floor if you're tight.)"", 'Place your left arm comfortably beside you and turn your head to the left. Imagine you have a weight tied to your tailbone. let your tailbone fall back toward the floor as your chest reaches in the opposite direction to stretch your lower back. Switch sides.']"
79,90/90 Hamstring,hamstrings,"['Lie on your back, with one leg extended straight out.', 'With the other leg, bend the hip and knee to 90 degrees. You may brace your leg with your hands if necessary. This will be your starting position.', 'Extend your leg straight into the air, pausing briefly at the top. Return the leg to the starting position.', 'Repeat for 10-20 repetitions, and then switch to the other leg.']"
80,Alternating Hang Clean,hamstrings,"['Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead.', 'Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so.', 'Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat.']"
81,Ball Leg Curl,hamstrings,"['Begin on the floor laying on your back with your feet on top of the ball.', 'Position the ball so that when your legs are extended your ankles are on top of the ball. This will be your starting position.', 'Raise your hips off of the ground, keeping your weight on the shoulder blades and your feet.', 'Flex the knees, pulling the ball as close to you as you can, contracting the hamstrings.', 'After a brief pause, return to the starting position.']"
82,Band Good Morning,hamstrings,"['Using a 41 inch band, stand on one end, spreading your feet a small amount. Bend at the hips to loop the end of the band behind your neck. This will be your starting position.', 'Keeping your legs straight, extend through the hips to come to a near vertical position.', 'Ensure that you do not round your back as you go down back to the starting position.']"
83,Band Good Morning (Pull Through),hamstrings,"['Loop the band around a post. Standing a little ways away, loop the opposite end around the neck. Your hands can help hold the band in position.', 'Begin by bending at the hips, getting your butt back as far as possible. Keep your back flat and bend forward to about 90 degrees. Your knees should be only slightly bent.', 'Return to the starting position be driving through with the hips to come back to a standing position.']"
84,Box Jump (Multiple Response),hamstrings,"[""Assume a relaxed stance facing the box or platform approximately an arm's length away. Arms should be down at the sides and legs slightly bent."", 'Using the arms to aid in the initial burst, jump upward and forward, landing with feet simultaneously on top of the box or platform.', 'Immediately drop or jump back down to the original starting place; then repeat the sequence.']"
85,Box Skip,hamstrings,"['You will need several boxes lined up about 8 feet apart.', 'Begin facing the first box with one leg slightly behind the other.', 'Drive off the back leg, attempting to gain as much height with the hips as possible.', 'Immediately upon landing on the box, drive the other leg forward and upward to gain height and distance, leaping from the box. Land between the first two boxes with the same leg that landed on the first box.', 'Then, step to the next box and repeat.']"
86,Chair Leg Extended Stretch,hamstrings,"['Sit upright in a chair and grip the seat on the sides.', 'Raise one leg, extending the knee, flexing the ankle as you do so.', 'Slowly move that leg outward as far as you can, and then back to the center and down.', 'Repeat for your other leg.']"
87,Clean,hamstrings,"['With a barbell on the floor close to the shins, take an overhand (or hook) grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.', '', 'Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight. Move the weight with control as you continue to above the knees.', 'Next comes the second pull, the main source of acceleration for the clean. As the bar approaches the mid-thigh position, begin extending through the hips. In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight; at the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended.', 'As full extension is achieved, transition into the third pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.', 'Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position.']"
88,Clean Deadlift,hamstrings,"['Begin standing with a barbell close to your shins. Your feet should be directly under your hips with your feet turned out slightly. Grip the bar with a double overhand grip or hook grip, about shoulder width apart. Squat down to the bar. Your spine should be in full extension, with a back angle that places your shoulders in front of the bar and your back as vertical as possible.', ""Begin by driving through the floor through the front of your heels. As the bar travels upward, maintain a constant back angle. Flare your knees out to the side to help keep them out of the bar's path."", 'After the bar crosses the knees, complete the lift by driving the hips into the bar until your hips and knees are extended.']"
89,Band Assisted Pull-Up,lats,"['Choke the band around the center of the pullup bar. You can use different bands to provide varying levels of assistance.', ""Pull the end of the band down, and place one bent knee into the loop, ensuring it won't slip out. Take a medium to wide grip on the bar. This will be your starting position."", 'Pull yourself upward by contracting the lats as you flex the elbow. The elbow should be driven to your side. Pull to the front, attempting to get your chin over the bar. Avoid swinging or jerking movements.', 'After a brief pause, return to the starting position.']"
90,Bent-Arm Barbell Pullover,lats,"['Lie on a flat bench with a barbell using a shoulder grip width.', 'Hold the bar straight over your chest with a bend in your arms. This will be your starting position.', 'While keeping your arms in the bent arm position, lower the weight slowly in an arc behind your head while breathing in until you feel a stretch on the chest.', 'At that point, bring the barbell back to the starting position using the arc through which the weight was lowered and exhale as you perform this movement.', 'Hold the weight on the initial position for a second and repeat the motion for the prescribed number of repetitions.']"
91,Cable Incline Pushdown,lats,"['Lie on incline an bench facing away from a high pulley machine that has a straight bar attachment on it.', 'Grasp the straight bar attachment overhead with a pronated (overhand; palms down) shoulder width grip and extend your arms in front of you. The bar should be around 2 inches away from your upper thighs. This will be your starting position.', 'Keeping the upper arms stationary, lift your arms back in a semi circle until the bar is straight over your head. Breathe in during this portion of the movement.', 'Slowly go back to the starting position using your lats and hold the contraction once you reach the starting position. Breathe out during the execution of this movement.', 'Repeat for the recommended amount of repetitions.']"
92,Catch and Overhead Throw,lats,"['Begin standing while facing a wall or a partner.', 'Using both hands, position the ball behind your head, stretching as much as possible, and forcefully throw the ball forward.', 'Ensure that you follow your throw through, being prepared to receive your rebound from your throw. If you are throwing against the wall, make sure that you stand close enough to the wall to receive the rebound, and aim a little higher than you would with a partner.']"
93,Chair Lower Back Stretch,lats,"['Sit upright on a chair.', 'Bend to one side with your arm over your head. You can hold onto the chair with your free hand.', 'Hold for 10 seconds, and repeat for your other side.']"
94,Chin-Up,lats,"['Grab the pull-up bar with the palms facing your torso and a grip closer than the shoulder width.', 'As you have both arms extended in front of you holding the bar at the chosen grip width, keep your torso as straight as possible while creating a curvature on your lower back and sticking your chest out. This is your starting position. Tip: Keeping the torso as straight as possible maximizes biceps stimulation while minimizing back involvement.', 'As you breathe out, pull your torso up until your head is around the level of the pull-up bar. Concentrate on using the biceps muscles in order to perform the movement. Keep the elbows close to your body. Tip: The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar.', 'After a second of squeezing the biceps in the contracted position, slowly lower your torso back to the starting position; when your arms are fully extended. Breathe in as you perform this portion of the movement.', 'Repeat this motion for the prescribed amount of repetitions.']"
95,Close-Grip Front Lat Pulldown,lats,"['Sit down on a pull-down machine with a wide bar attached to the top pulley. Make sure that you adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar.', 'Grab the bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width.', 'As you have both arms extended in front of you - while holding the bar at the chosen grip width - bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position.', 'As you breathe out, bring the bar down until it touches your upper chest by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary (only the arms should move). The forearms should do no other work except for holding the bar; therefore do not try to pull the bar down using the forearms.', 'After a second in the contracted position, while squeezing your shoulder blades together, slowly raise the bar back to the starting position when your arms are fully extended and the lats are fully stretched. Inhale during this portion of the movement.', '6. Repeat this motion for the prescribed amount of repetitions.']"
96,Dynamic Back Stretch,lats,"['Stand with your feet shoulder width apart. This will be your starting position.', 'Keeping your arms straight, swing them straight up in front of you 5-10 times, increasing the range of motion each time until your arms are above your head.']"
97,Elevated Cable Rows,lats,"['Get a platform of some sort (it can be an aerobics or calf raise platform) that is around 4-6 inches in height.', 'Place it on the seat of the cable row machine.', 'Sit down on the machine and place your feet on the front platform or crossbar provided making sure that your knees are slightly bent and not locked.', 'Lean over as you keep the natural alignment of your back and grab the V-bar handles.', 'With your arms extended pull back until your torso is at a 90-degree angle from your legs. Your back should be slightly arched and your chest should be sticking out. You should be feeling a nice stretch on your lats as you hold the bar in front of you. This is the starting position of the exercise.', 'Keeping the torso stationary, pull the handles back towards your torso while keeping the arms close to it until you touch the abdominals. Breathe out as you perform that movement. At that point you should be squeezing your back muscles hard. Hold that contraction for a second and slowly go back to the original position while breathing in.', 'Repeat for the recommended amount of repetitions.']"
98,Full Range-Of-Motion Lat Pulldown,lats,"['Either standing or seated on a high bench, grasp two stirrup cables that are attached to the high pulleys. Grab with the opposing hand so your arms are crisscrossed about you and your palms are facing forward.', 'Keeping your chest up and maintaining a slight arch in your lower back, pull the handles down as if you were doing a regular pulldown. The range of motion will be more of an arc. During the movement, rotate your hands so that in the bottom position your palms face each other rather than forward. Return slowly to the starting position and repeat.']"
99,Atlas Stone Trainer,lower back,"[""This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe."", 'Begin by loading the desired weight onto the bar. Straddle the weight, wrapping your arms around the implement, bending at the hips.', 'Begin by pulling the weight up past the knees, extending through the hips. As the weight clears the knees, it can be lapped by resting it on your thighs and sitting back, hugging it tightly to your chest.', 'Finish the movement by extending through your hips and knees to raise the weight as high as possible. The weight can be returned to the lap or to the ground for successive repetitions.']"
100,Atlas Stones,lower back,"['Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold.', 'Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground.', 'As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs.', 'Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible.']"
101,Axle Deadlift,lower back,"['Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an over/under grip.', 'With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward.', 'After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.', 'Lower the bar by bending at the hips and guiding it to the floor.']"
102,Barbell Deadlift,lower back,"['Stand in front of a loaded barbell.', 'While keeping the back as straight as possible, bend your knees, bend forward and grasp the bar using a medium (shoulder width) overhand grip. This will be the starting position of the exercise. Tip: If it is difficult to hold on to the bar with this grip, alternate your grip or use wrist straps.', 'While holding the bar, start the lift by pushing with your legs while simultaneously getting your torso to the upright position as you breathe out. In the upright position, stick your chest out and contract the back by bringing the shoulder blades back. Think of how the soldiers in the military look when they are in standing in attention.', 'Go back to the starting position by bending at the knees while simultaneously leaning the torso forward at the waist while keeping the back straight. When the weights on the bar touch the floor you are back at the starting position and ready to perform another repetition.', 'Perform the amount of repetitions prescribed in the program.']"
103,Cat Stretch,lower back,"['Position yourself on the floor on your hands and knees.', 'Pull your belly in and round your spine, lower back, shoulders, and neck, letting your head drop.', 'Hold for 15 seconds.']"
104,Child's Pose,lower back,"['Get on your hands and knees, walk your hands in front of you.', 'Lower your buttocks down to sit on your heels. Let your arms drag along the floor as you sit back to stretch your entire spine.', 'Once you settle onto your heels, bring your hands next to your feet and relax. ""breathe"" into your back. Rest your forehead on the floor. Avoid this position if you have knee problems.']"
105,Crossover Reverse Lunge,lower back,"['Stand with your feet shoulder width apart. This will be your starting position.', 'Perform a rear lunge by stepping back with one foot and flexing the hips and front knee. As you do so, rotate your torso across the front leg.', 'After a brief pause, return to the starting position and repeat on the other side, continuing in an alternating fashion.']"
106,Dancer's Stretch,lower back,"['Sit up on the floor.', 'Cross your right leg over your left, keeping the knee bent. Your left leg is straight and down on the floor.', 'Place your left arm on your right leg and your right hand on the floor.', 'Rotate your upper body to the right, and hold for 10-20 seconds. Switch sides.']"
107,Deadlift with Bands,lower back,"['To deadlift with short bands, simply loop them over the bar before you start, and step into them to set up. For long bands, they will need to be anchored to a secure base, such as heavy dumbbells or a rack.', 'With your feet, and your grip set, take a big breath and then lower your hips and bend the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.', 'Lower the bar by bending at the hips and guiding it to the floor.']"
108,Deadlift with Chains,lower back,"['You can attach the chains to the sleeves of the bar, or just drape the middle over the bar so there is a greater weight increase as you lift.', 'Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an overhand grip or an over/under grip on heavier sets. With your feet, and your grip set, take a big breath and then lower your hips and bend the knees until your shins contact the bar.', 'Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.', 'Lower the bar by bending at the hips and guiding it to the floor.']"
109,Alternating Kettlebell Row,middle back,"['Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles.', 'Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage.', 'Lower the kettlebell in the working arm and repeat with your other arm.']"
110,Alternating Renegade Row,middle back,"['Place two kettlebells on the floor about shoulder width apart. Position yourself on your toes and your hands as though you were doing a pushup, with the body straight and extended. Use the handles of the kettlebells to support your upper body. You may need to position your feet wide for support.', 'Push one kettlebell into the floor and row the other kettlebell, retracting the shoulder blade of the working side as you flex the elbow, pulling it to your side.', 'Then lower the kettlebell to the floor and begin the kettlebell in the opposite hand. Repeat for several reps.']"
111,Bent Over Barbell Row,middle back,"['Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.', 'Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause.', 'Then inhale and slowly lower the barbell back to the starting position.', 'Repeat for the recommended amount of repetitions.']"
112,Bent Over One-Arm Long Bar Row,middle back,"['Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward.', 'Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent.', 'Now grab the bar with one arm just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position.', 'Pull the bar straight up with your elbow in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement. Breathe out as you lift the weight. Tip: Do not allow for any swinging of the torso. Only the arm should move.', 'Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor. To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones).', 'Repeat for the recommended amount of repetitions and switch arms.']"
113,Bent Over Two-Arm Long Bar Row,middle back,"['Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward.', 'Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent.', 'Now grab the bar with both arms just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position.', 'Pull the bar straight up with your elbows in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement. Breathe out as you lift the weight. Tip: Use a stirrup or double handle cable attachment by hooking it under the end of the bar.', 'Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor. To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones).', 'Repeat for the recommended amount of repetitions.']"
114,Bent Over Two-Dumbbell Row,middle back,"['With a dumbbell in each hand (palms facing your torso), bend your knees slightly and bring your torso forward by bending at the waist; as you bend make sure to keep your back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The weights should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.', 'While keeping the torso stationary, lift the dumbbells to your side (as you breathe out), keeping the elbows close to the body (do not exert any force with the forearm other than holding the weights). On the top contracted position, squeeze the back muscles and hold for a second.', 'Slowly lower the weight again to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.']"
115,Bent Over Two-Dumbbell Row With Palms In,middle back,"['With a dumbbell in each hand (palms facing each other), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The weights should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.', 'While keeping the torso stationary, lift the dumbbells to your side as you breathe out, squeezing your shoulder blades together. On the top contracted position, squeeze the back muscles and hold for a second.', 'Slowly lower the weight again to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.']"
116,Bodyweight Mid Row,middle back,"['Begin by taking a medium to wide grip on a pull-up apparatus with your palms facing away from you. From a hanging position, tuck your knees to your chest, leaning back and getting your legs over your side of the pull-up apparatus. This will be your starting position.', 'Beginning with your arms straight, flex the elbows and retract the shoulder blades to raise your body up until your legs contact the pull-up apparatus.', 'After a brief pause, return to the starting position.']"
117,Dumbbell Incline Row,middle back,"['Using a neutral grip, lean into an incline bench.', 'Take a dumbbell in each hand with a neutral grip, beginning with the arms straight. This will be your starting position.', 'Retract the shoulder blades and flex the elbows to row the dumbbells to your side.', 'Pause at the top of the motion, and then return to the starting position.']"
118,Incline Bench Pull,middle back,"['Grab a dumbbell in each hand and lie face down on an incline bench that is set to an incline that is approximately 30 degrees.', 'Let the arms hang to your sides fully extended as they point to the floor.', 'Turn the wrists until your hands have a pronated (palms down) grip.', 'Now flare the elbows out. This will be your starting position.', 'As you breathe out, start to pull the dumbbells up as if you are doing a reverse bench press. You will do this by bending at the elbows and bringing the upper arms up as you let the forearms hang. Continue this motion until the upper arms are at the same level as your back. Tip: The elbows will come out to the side and your upper arms and torso should make the letter ""T"" at the top of the movement. Hold the contraction at the top for a second.', 'Slowly go back down to the starting position as you breathe in.', 'Repeat for the recommended amount of repetitions.']"
119,Chin To Chest Stretch,neck,"['Get into a seated position on the floor.', 'Place both hands at the rear of your head, fingers interlocked, thumbs pointing down and elbows pointing straight ahead. Slowly pull your head down to your chest. Hold for 20-30 seconds.']"
120,Isometric Neck Exercise - Front And Back,neck,"['With your head and neck in a neutral position (normal position with head erect facing forward), place both of your hands on the front side of your head.', 'Now gently push forward as you contract the neck muscles but resisting any movement of your head. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction.', 'Hold for the recommended number of seconds.', 'Now release the tension slowly.', 'Rest for the recommended amount of time and repeat with your hands placed on the back side of your head.']"
121,Isometric Neck Exercise - Sides,neck,"['With your head and neck in a neutral position (normal position with head erect facing forward), place your left hand on the left side of your head.', 'Now gently push towards the left as you contract the left neck muscles but resisting any movement of your head. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction.', 'Hold for the recommended number of seconds.', 'Now release the tension slowly.', 'Rest for the recommended amount of time and repeat with your right hand placed on the right side of your head.']"
122,Lying Face Down Plate Neck Resistance,neck,"['Lie face down with your whole body straight on a flat bench while holding a weight plate behind your head. Tip: You will need to position yourself so that your shoulders are slightly above the end of a flat bench in order for the upper chest, neck and face to be off the bench. This will be your starting position.', 'While keeping the plate secure on the back of your head slowly lower your head (as in saying ""yes"") as you breathe in.', 'Raise your head back up to the starting position in a semi-circular motion as you breathe out. Hold the contraction for a second.', 'Repeat for the recommended amount of repetitions.']"
123,Lying Face Up Plate Neck Resistance,neck,"['Lie face up with your whole body straight on a flat bench while holding a weight plate on top of your forehead. Tip: You will need to position yourself so that your shoulders are slightly above the end of a flat bench in order for the traps, neck and head to be off the bench. This will be your starting position.', 'While keeping the plate secure on your forehead slowly lower your head back in a semi-circular motion as you breathe in.', 'Raise your head back up to the starting position in a semi-circular motion as you breathe out. Hold the contraction for a second.', 'Repeat for the recommended amount of repetitions.']"
124,Neck-SMR,neck,"['Using a muscle roller or a rolling pin, place the roller behind your head and against your neck. Make sure that you do not place the roller directly against the spine, but turned slightly so that the roller is pressed against the muscles to either side of the spine. This will be your starting position.', 'Starting at the top of your neck, slowly roll down the muscles of your neck, pausing at points of tension for 10-30 seconds.']"
125,Seated Head Harness Neck Resistance,neck,"['Place a neck strap on the floor at the end of a flat bench. Once you have selected the weights, sit at the end of the flat bench with your feet wider than shoulder width apart from each other. Your toes should be pointed out.', 'Slowly move your torso forward until it is almost parallel with the floor. Using both hands, securely position the neck strap around your head. Tip: Make sure the weights are still lying on the floor to prevent any strain on the neck. Now grab the weight with both hands while elevating your torso back until it is almost perpendicular to the floor. Note: Your head and torso needs to be slightly tilted forward to perform this exercise.', 'Now place both hands on top of your knees. This is the starting position.', 'Slowly lower your neck down until your chin touches the upper part of your chest while breathing in.', 'While exhaling, bring your neck back to the starting position.', 'Repeat for the recommended amount of repetitions.']"
126,Side Neck Stretch,neck,"['Start with your shoulders relaxed, gently tilt your head towards your shoulder.', 'Assist stretch with a gentle pull on the side of the head.']"
127,All Fours Quad Stretch,quadriceps,"['Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand.', 'Use your hand to hold the foot or ankle, keeping the knee fully flexed, stretching the quadriceps and hip flexors.', 'Focus on extending your hips, thrusting them towards the floor. Hold for 10-20 seconds and then switch sides.']"
128,Alternate Leg Diagonal Bound,quadriceps,"['Assume a comfortable stance with one foot slightly in front of the other.', 'Begin by pushing off with the front leg, driving the opposite knee forward and as high as possible before landing. Attempt to cover as much distance to each side with each bound.', 'It may help to use a line on the ground to guage distance from side to side.', 'Repeat the sequence with the other leg.']"
129,Backward Drag,quadriceps,"['Load a sled with the desired weight, attaching a rope or straps to the sled that you can hold onto.', 'Begin the exercise by moving backwards for a given distance. Leaning back, extend through the legs for short steps to move as quickly as possible.']"
130,Barbell Full Squat,quadriceps,"['This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.', 'Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.', 'Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position.', 'Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement.', 'Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position.', 'Repeat for the recommended amount of repetitions.']"
